id,name,date_of_birth,height,weight,spike,block,link
92,Ai Yamamoto,24/03/1982,184,68,312,305,Players.asp?Tourn=WGP2010&Team=JPN&No=112041
93,Yuko Sano,26/07/1979,159,54,260,250,Players.asp?Tourn=WGP2010&Team=JPN&No=113311
94,Mai Yamaguchi,3/07/1983,176,62,304,292,Players.asp?Tourn=WGP2010&Team=JPN&No=122617
95,Chie Yoshizawa,9/07/1983,172,66,294,288,Players.asp?Tourn=WGP2010&Team=JPN&No=114581
96,Mizuho Ishida,22/01/1988,174,65,301,286,Players.asp?Tourn=WGP2010&Team=JPN&No=119191
97,Yuki Shoji,19/11/1981,182,67,315,296,Players.asp?Tourn=WGP2010&Team=JPN&No=118934
98,Erika Shinomiya,3/08/1984,186,78,305,297,Players.asp?Tourn=WGP2010&Team=JPN&No=112717
99,Saori Kimura,19/08/1986,185,65,304,293,Players.asp?Tourn=WGP2010&Team=JPN&No=114038
100,Mai Fukuda,30/01/1984,176,65,298,280,Players.asp?Tourn=WGP2010&Team=JPN&No=132052
101,Yukiko Ebata,7/11/1989,176,67,305,298,Players.asp?Tourn=WGP2010&Team=JPN&No=132056
102,Koyomi Iwasaki,1/05/1989,175,68,295,280,Players.asp?Tourn=WGP2010&Team=JPN&No=119198
103,Saori Sakoda,18/12/1987,175,63,305,279,Players.asp?Tourn=WGP2010&Team=JPN&No=132053
104,Akiko Ino,28/09/1986,168,59,270,260,Players.asp?Tourn=WGP2010&Team=JPN&No=115532
105,Maiko Sakashita,25/02/1985,180,74,302,296,Players.asp?Tourn=WGP2010&Team=JPN&No=120150
106,Kanari Hamaguchi,29/08/1985,167,60,283,269,Players.asp?Tourn=WGP2010&Team=JPN&No=122618
107,Francien Huurman,18/04/1975,192,80,313,292,Players.asp?Tourn=WGP2010&Team=NED&No=113635
108,ChaÃ¯ne Staelens,7/11/1980,194,79,316,299,Players.asp?Tourn=WGP2010&Team=NED&No=110020
109,Robin De Kruijf,5/05/1991,192,81,313,300,Players.asp?Tourn=WGP2010&Team=NED&No=120504
110,Maret Balkestein-Grothues,16/09/1988,180,68,304,285,Players.asp?Tourn=WGP2010&Team=NED&No=120501
111,Quinta Steenbergen,2/04/1985,189,75,309,300,Players.asp?Tourn=WGP2010&Team=NED&No=120500
112,Alice Blom,7/04/1980,178,64,305,280,Players.asp?Tourn=WGP2010&Team=NED&No=113640
113,Myrthe Schoot,29/08/1988,182,70,298,286,Players.asp?Tourn=WGP2010&Team=NED&No=123468
114,Janneke van Tienen,29/05/1979,177,73,294,273,Players.asp?Tourn=WGP2010&Team=NED&No=113637
115,Caroline Wensink,4/08/1984,186,80,309,305,Players.asp?Tourn=WGP2010&Team=NED&No=113651
116,Manon Nummerdor-Flier,8/02/1984,192,71,315,301,Players.asp?Tourn=WGP2010&Team=NED&No=113642
117,Anne Buijs,2/12/1991,191,73,317,299,Players.asp?Tourn=WGP2010&Team=NED&No=120503
118,Laura Dijkema,18/02/1990,184,70,293,279,Players.asp?Tourn=WGP2010&Team=NED&No=124070
119,Ingrid Visser,4/06/1977,190,74,314,298,Players.asp?Tourn=WGP2010&Team=NED&No=113644
120,Debby Stam-Pilon,24/07/1984,184,69,303,281,Players.asp?Tourn=WGP2010&Team=NED&No=114745
121,Nicole Koolhaas,31/01/1991,198,77,310,300,Players.asp?Tourn=WGP2010&Team=NED&No=124072
122,Judith Blansjaar,23/05/1990,177,73,286,272,Players.asp?Tourn=WGP2010&Team=NED&No=124068
123,Lonneke SlÃ¶etjes,15/11/1990,191,76,322,315,Players.asp?Tourn=WGP2010&Team=NED&No=120498
124,Mariola Zenik,3/07/1982,175,65,300,295,Players.asp?Tourn=WGP2010&Team=POL&No=114527
125,Karolina Rozycka,28/06/1985,183,68,305,284,Players.asp?Tourn=WGP2010&Team=POL&No=132060
126,Katarzyna Konieczna,22/03/1985,184,75,304,288,Players.asp?Tourn=WGP2010&Team=POL&No=112694
127,Katarzyna Skorupa,16/09/1984,183,69,302,296,Players.asp?Tourn=WGP2010&Team=POL&No=112699
128,Agnieszka Bednarek-Kasza,20/02/1986,185,71,310,295,Players.asp?Tourn=WGP2010&Team=POL&No=119134
129,Berenika Tomsia,18/03/1988,188,72,310,302,Players.asp?Tourn=WGP2010&Team=POL&No=114293
130,Katarzyna Agnieszka Zaroslinska-Krol,3/02/1987,187,72,312,290,Players.asp?Tourn=WGP2010&Team=POL&No=132062
131,Joanna Staniucha-Szczurek,5/12/1981,184,76,303,290,Players.asp?Tourn=WGP2010&Team=POL&No=113517
