id,name,link,date_of_birth,height,weight,spike,block,age
151,Brenda Castillo,/en/competition/teams/dom-dominican%20republic/players/brenda-castillo?id=68396,05/06/1992,167,55,245,230,28
152,Camil Inmaculada Dominguez Martinez,/en/competition/teams/dom-dominican%20republic/players/camil-inmaculada-dominguez-martinez?id=68398,07/12/1991,176,75,285,270,29
153,Niverka Dharlenis Marte Frica,/en/competition/teams/dom-dominican%20republic/players/niverka-dharlenis-marte-frica?id=68404,19/10/1990,178,71,295,283,30
154,Candida Estefany Arias Perez,/en/competition/teams/dom-dominican%20republic/players/candida-estefany-arias-perez?id=68394,11/03/1992,194,68,320,315,28
155,Natalia Martinez,/en/competition/teams/dom-dominican%20republic/players/natalia-martinez?id=68407,25/11/2000,186,71,310,300,20
156,Marifranchi Rodriguez,/en/competition/teams/dom-dominican%20republic/players/marifranchi-rodriguez?id=68413,29/08/1990,184,68,310,300,30
157,Yokaty Perez Flores,/en/competition/teams/dom-dominican%20republic/players/yokaty-perez-flores?id=68411,06/08/1998,178,79,291,257,22
158,Madeline Jazmin Guillen Paredes,/en/competition/teams/dom-dominican%20republic/players/madeline-jazmin-guillen-paredes?id=68402,04/06/2001,186,74,273,242,19
159,Prisilla Rivera Brens,/en/competition/teams/dom-dominican%20republic/players/prisilla-rivera-brens?id=68412,29/12/1984,183,67,309,305,36
160,Yonkaira Paola Peña Isabel,/en/competition/teams/dom-dominican%20republic/players/yonkaira-paola-pe%c3%b1a-isabel?id=68409,10/05/1993,190,70,320,310,27
161,Gina Altagracia Mambru Casilla,/en/competition/teams/dom-dominican%20republic/players/gina-altagracia-mambru-casilla?id=68403,21/01/1986,182,65,330,315,34
162,Bethania De La Cruz De Peña,/en/competition/teams/dom-dominican%20republic/players/bethania-de-la-cruz-de-pe%c3%b1a?id=68397,13/05/1987,188,70,330,320,33
163,Ana Yorkira Binet Stephens,/en/competition/teams/dom-dominican%20republic/players/ana-yorkira-binet-stephens?id=68395,09/02/1992,174,58,280,260,28
164,Brayelin Elizabeth Martinez,/en/competition/teams/dom-dominican%20republic/players/brayelin-elizabeth-martinez?id=68405,11/09/1996,201,83,330,320,24
165,Jineiry Martinez,/en/competition/teams/dom-dominican%20republic/players/jineiry-martinez?id=68406,03/12/1997,190,68,305,280,23
166,Yaneirys Rodriguez Duran,/en/competition/teams/dom-dominican%20republic/players/yaneirys-rodriguez-duran?id=68414,26/06/2000,171,56,280,251,20
167,Gaila Ceneida Gonzalez Lopez,/en/competition/teams/dom-dominican%20republic/players/gaila-ceneida-gonzalez-lopez?id=68401,25/06/1997,188,73,304,276,23
168,Vielka Michelle Peralta Luna,/en/competition/teams/dom-dominican%20republic/players/vielka-michelle-peralta-luna?id=68410,13/04/1999,186,56,310,305,21
169,Larysmer Martinez Caro,/en/competition/teams/dom-dominican%20republic/players/larysmer-martinez-caro?id=68408,18/10/1996,174,68,288,258,24
170,Yana Shcherban,/en/competition/teams/rus-russia/players/yana-shcherban?id=69306,06/09/1989,185,71,298,294,31
171,Daria Talysheva,/en/competition/teams/rus-russia/players/daria-talysheva?id=69309,16/10/1991,182,67,295,288,29
172,Ekaterina Efimova,/en/competition/teams/rus-russia/players/ekaterina-efimova?id=69290,03/07/1993,192,70,305,295,27
173,Natalia Krotkova,/en/competition/teams/rus-russia/players/natalia-krotkova?id=69297,01/07/1992,185,65,305,295,28
174,Iuliia Kutiukova,/en/competition/teams/rus-russia/players/iuliia-kutiukova?id=69299,30/03/1989,183,74,0,299,31
175,Irina Koroleva,/en/competition/teams/rus-russia/players/irina-koroleva?id=69295,04/10/1991,196,78,305,290,29
176,Tatiana Romanova,/en/competition/teams/rus-russia/players/tatiana-romanova?id=69304,09/09/1994,180,69,290,275,26
177,Nataliya Goncharova,/en/competition/teams/rus-russia/players/nataliya-goncharova?id=69293,01/06/1989,194,75,315,306,31
178,Alla Galkina,/en/competition/teams/rus-russia/players/alla-galkina?id=69292,15/04/1992,178,65,295,290,28
179,Ekaterina Pankova,/en/competition/teams/rus-russia/players/ekaterina-pankova?id=69368,02/02/1990,178,64,290,285,30
180,Ekaterina Lyubushkina,/en/competition/teams/rus-russia/players/ekaterina-lyubushkina?id=69301,02/01/1990,188,81,300,285,30
181,Daria Ryseva,/en/competition/teams/rus-russia/players/daria-ryseva?id=69305,05/03/1998,175,69,282,266,22
182,Evgeniya Startseva,/en/competition/teams/rus-russia/players/evgeniya-startseva?id=69308,12/02/1989,185,68,294,290,31
183,Irina Fetisova,/en/competition/teams/rus-russia/players/irina-fetisova?id=69291,07/09/1994,190,76,307,286,26
184,Irina Voronkova,/en/competition/teams/rus-russia/players/irina-voronkova?id=69310,20/10/1995,190,84,305,290,25
185,Natalia Malykh,/en/competition/teams/rus-russia/players/natalia-malykh?id=69302,08/12/1993,187,65,308,297,27
186,Kseniia Parubets,/en/competition/teams/rus-russia/players/kseniia-parubets?id=69303,31/10/1994,183,64,300,286,26
187,Olga Biryukova,/en/competition/teams/rus-russia/players/olga-biryukova?id=69289,19/09/1994,193,74,300,283,26
188,Daria Malygina,/en/competition/teams/rus-russia/players/daria-malygina?id=69344,04/04/1994,202,82,317,305,26
189,Anna Kotikova,/en/competition/teams/rus-russia/players/anna-kotikova?id=69296,13/10/1999,185,71,306,300,21
190,Angelina Lazarenko,/en/competition/teams/rus-russia/players/angelina-lazarenko?id=69300,13/04/1998,193,80,320,305,22
191,Ekaterina Ulanova,/en/competition/teams/rus-russia/players/ekaterina-ulanova?id=69345,05/08/1986,172,61,298,290,34
192,Gabriella Souza,/en/competition/teams/bra-brazil/players/gabriella-souza?id=69451,14/12/1993,175,69,296,273,27
193,Mara Ferreira Leao,/en/competition/teams/bra-brazil/players/mara-ferreira-leao?id=69443,26/07/1991,190,84,320,301,29
194,Danielle Lins,/en/competition/teams/bra-brazil/players/danielle-lins?id=69444,05/01/1985,181,68,290,276,35
195,Ana Carolina Da Silva,/en/competition/teams/bra-brazil/players/ana-carolina-da-silva?id=69433,08/04/1991,183,73,290,290,29
196,Adenizia Da Silva,/en/competition/teams/bra-brazil/players/adenizia-da-silva?id=69448,18/12/1986,185,63,312,290,34
197,Thaisa Daher De Menezes,/en/competition/teams/bra-brazil/players/thaisa-daher-de-menezes?id=69442,15/05/1987,196,79,316,301,33
198,Rosamaria Montibeller,/en/competition/teams/bra-brazil/players/rosamaria-montibeller?id=69435,09/04/1994,185,76,291,285,26
199,Fernanda Tomé,/en/competition/teams/bra-brazil/players/fernanda-tom%c3%a9?id=69447,10/12/1989,195,78,295,291,31
200,Roberta Silva Ratzke,/en/competition/teams/bra-brazil/players/roberta-silva-ratzke?id=69438,28/04/1990,185,71,287,278,30
201,Gabriela Braga Guimaraes,/en/competition/teams/bra-brazil/players/gabriela-braga-guimaraes?id=69450,19/05/1994,180,65,305,289,26
202,Claudia Bueno Da Silva,/en/competition/teams/bra-brazil/players/claudia-bueno-da-silva?id=69446,21/09/1987,181,80,290,266,33
203,Natalia Pereira,/en/competition/teams/bra-brazil/players/natalia-pereira?id=69436,04/04/1989,186,83,311,295,31
204,Amanda Francisco,/en/competition/teams/bra-brazil/players/amanda-francisco?id=69449,16/08/1988,180,62,304,286,32
205,Drussyla Costa,/en/competition/teams/bra-brazil/players/drussyla-costa?id=69431,01/07/1996,182,73,304,286,24
206,Monique Marinho Pavao,/en/competition/teams/bra-brazil/players/monique-marinho-pavao?id=69434,31/10/1986,178,67,294,285,34
207,Fernanda Rodrigues,/en/competition/teams/bra-brazil/players/fernanda-rodrigues?id=69445,10/05/1986,179,74,308,288,34
208,Suelen Pinto,/en/competition/teams/bra-brazil/players/suelen-pinto?id=69437,04/10/1987,166,81,256,238,33
209,Natália Araujo,/en/competition/teams/bra-brazil/players/nat%c3%a1lia-araujo?id=69439,10/04/1997,162,59,228,215,23
210,Tandara Caixeta,/en/competition/teams/bra-brazil/players/tandara-caixeta?id=69440,30/10/1988,184,87,305,297,32
211,Ana Beatriz Correa,/en/competition/teams/bra-brazil/players/ana-beatriz-correa?id=69430,07/02/1992,187,70,298,292,28
212,Mariana Costa,/en/competition/teams/bra-brazil/players/mariana-costa?id=69432,30/07/1986,181,73,295,283,34
213,Macris Fernanda Silva Carneiro,/en/competition/teams/bra-brazil/players/macris-fernanda-silva-carneiro?id=69441,03/03/1989,178,64,292,275,31
214,Gizem Orge,/en/competition/teams/tur-turkey/players/gizem-orge?id=69136,26/04/1993,170,59,270,260,27
215,Simge Sebnem Akoz,/en/competition/teams/tur-turkey/players/simge-sebnem-akoz?id=69120,23/04/1991,168,56,250,245,29
216,Cansu Özbay,/en/competition/teams/tur-turkey/players/cansu-%c3%b6zbay?id=69137,17/10/1996,182,78,298,290,24
217,Beyza Arici,/en/competition/teams/tur-turkey/players/beyza-arici?id=69121,27/07/1995,193,83,303,294,25
218,Seyma Ercan,/en/competition/teams/tur-turkey/players/seyma-ercan?id=69128,05/07/1994,187,73,305,294,26
219,Saliha Sahin,/en/competition/teams/tur-turkey/players/saliha-sahin?id=69141,05/11/1998,185,62,282,275,22
220,Hande Baladin,/en/competition/teams/tur-turkey/players/hande-baladin?id=69124,01/09/1997,190,81,309,300,23
221,Tugba Senoglu,/en/competition/teams/tur-turkey/players/tugba-senoglu?id=69140,02/02/1998,184,64,275,270,22
222,Meliha Ismailoglu,/en/competition/teams/tur-turkey/players/meliha-ismailoglu?id=69131,17/09/1993,188,73,303,291,27
223,Çagla Akin,/en/competition/teams/tur-turkey/players/%c3%a7agla-akin?id=69119,19/01/1995,177,70,300,280,25
224,Meryem Boz,/en/competition/teams/tur-turkey/players/meryem-boz?id=69125,03/02/1988,190,68,323,313,32
225,Eda Erdem Dündar,/en/competition/teams/tur-turkey/players/eda-erdem-d%c3%bcndar?id=69129,22/06/1987,188,74,307,297,33
226,Ebrar Karakurt,/en/competition/teams/tur-turkey/players/ebrar-karakurt?id=69133,17/01/2000,196,73,315,304,20
227,Cansu Aydinogullari,/en/competition/teams/tur-turkey/players/cansu-aydinogullari?id=69123,18/02/1992,183,70,275,270,28
228,Zehra Gunes,/en/competition/teams/tur-turkey/players/zehra-gunes?id=69130,07/07/1999,197,88,319,310,21
229,Asli Kalac,/en/competition/teams/tur-turkey/players/asli-kalac?id=69132,13/12/1995,185,73,306,297,25
230,Aylin Sarioğlu,/en/competition/teams/tur-turkey/players/aylin-sario%c4%9flu?id=69139,21/07/1995,169,68,300,290,25
231,Asl?Han Kilic,/en/competition/teams/tur-turkey/players/asl%3fhan-kilic?id=69134,21/04/1998,178,71,278,277,22
232,Kubra Caliskan,/en/competition/teams/tur-turkey/players/kubra-caliskan?id=69126,13/10/1994,198,86,310,310,26
233,Derya Cebecioglu,/en/competition/teams/tur-turkey/players/derya-cebecioglu?id=69127,24/10/2000,185,65,290,280,20
234,Güldeniz Önal,/en/competition/teams/tur-turkey/players/g%c3%bcldeniz-%c3%b6nal?id=69135,25/03/1986,183,75,302,293,34
235,İlkin Aydin,/en/competition/teams/tur-turkey/players/%c4%b0lkin-aydin?id=69122,05/01/2000,183,67,300,284,20
236,Wipawee Srithong,/en/competition/teams/tha-thailand/players/wipawee-srithong?id=69263,28/01/1999,174,65,288,266,21
237,Piyanut Pannoy,/en/competition/teams/tha-thailand/players/piyanut-pannoy?id=69260,10/11/1989,171,62,280,275,31
238,Pornpun Guedpard,/en/competition/teams/tha-thailand/players/pornpun-guedpard?id=69249,05/05/1993,170,63,288,279,27
