index,name,date_of_birth,height,weight,spike,block,link
154,Cruz Solar Maria Ximena,03/01/2004,185,75,290,260,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/cruz-solar-maria-ximena?id=76918
155,Melanie Guadalupe Parra Quintero,12/09/2002,176,50,249,242,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/melanie-guadalupe-parra-quintero?id=76468
156,Angella Audrey Rivera Rios,30/09/2002,165,58,260,255,/en/volleyball/worldchampionships/u18/women/2019/teams/mex-mexico/players/angella-audrey-rivera-rios?id=76469
157,Yadhira Anchante,19/11/2002,178,59,286,290,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/yadhira-anchante?id=75697
158,Carolina Takahashi Omote,18/09/2002,177,68,281,270,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/carolina-takahashi-omote?id=75707
159,Maria Jose Rojas,12/07/2003,175,67,275,260,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/maria-jose-rojas?id=75710
160,Janelly Sarita Ceopa Dongo,30/03/2002,175,65,285,270,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/janelly-sarita-ceopa-dongo?id=75699
161,Camila Nicolle Perez Rivas,02/09/2002,180,60,291,275,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/camila-nicolle-perez-rivas?id=75705
162,Maria Lopez Torres,07/05/2002,175,68,281,280,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/maria-lopez-torres?id=75702
163,Andrea Francesca Calderon Rios,02/10/2002,164,60,265,250,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/andrea-francesca-calderon-rios?id=75698
164,Carolina Brunella Milla Romero,02/12/2002,176,57,276,266,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/carolina-brunella-milla-romero?id=75704
165,Lizanyela Lopez Linares,21/04/2003,187,60,295,285,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/lizanyela-lopez-linares?id=75701
166,Antuanett Arteaga,15/05/2003,175,70,280,265,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/antuanett-arteaga?id=75700
167,Alondra Alarcon,24/09/2004,175,0,280,265,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/alondra-alarcon?id=75696
168,Thaisa Mc Leod,01/01/2002,189,75,301,305,/en/volleyball/worldchampionships/u18/women/2019/teams/per-peru/players/thaisa-mc-leod?id=75703
169,Jennifer Collazo Monte De Oca,18/02/2002,180,50,274,254,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/jennifer-collazo-monte-de-oca?id=76846
170,Mariana Trujillo,24/04/2002,77,188,247,242,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/mariana-trujillo?id=76853
171,Kiaraliz Perez,29/07/2002,67,183,244,235,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/kiaraliz-perez?id=76852
172,Sofia Victoria,03/05/2002,180,69,284,279,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/sofia-victoria?id=76854
173,Valeria Otero Morales,26/12/2002,170,58,262,248,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/valeria-otero-morales?id=76850
174,Paola Matos Carrasquillo,24/12/2002,178,55,270,250,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/paola-matos-carrasquillo?id=76848
175,Alondra Maldonado,14/11/2002,72,190,245,238,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/alondra-maldonado?id=76847
176,Carolina Camacho Castro,12/09/2002,168,48,265,248,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/carolina-camacho-castro?id=76844
177,Maria Carattini Colon,25/06/2002,168,50,260,241,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/maria-carattini-colon?id=76845
178,Marcelle Baez Carlo,14/02/2003,181,53,273,253,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/marcelle-baez-carlo?id=76842
179,Cristal Paulino Rubel,26/04/2003,182,61,274,256,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/cristal-paulino-rubel?id=76851
180,Claudia Borri Fernandez,11/04/2002,178,64,270,252,/en/volleyball/worldchampionships/u18/women/2019/teams/pur-puerto%20rico/players/claudia-borri-fernandez?id=76843
181,Andra Elena Cojocaru,08/05/2002,160,54,262,254,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/andra-elena-cojocaru?id=77052
182,Iarina Luana Axinte,16/06/2005,178,53,284,270,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/iarina-luana-axinte?id=77048
183,Andreea Cristina Murar,17/03/2002,167,52,262,254,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/andreea-cristina-murar?id=77056
184,Adriana-Valentina Alexandru,13/09/2002,183,63,280,270,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/adriana-valentina-alexandru?id=77046
185,Georgiana Florentina Popa,24/03/2003,180,58,295,284,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/georgiana-florentina-popa?id=77059
186,Patricia-Carina Barbulescu,26/07/2003,171,50,270,260,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/patricia-carina-barbulescu?id=77049
187,Denisa Stefania Cheluta,06/04/2004,187,58,302,290,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/denisa-stefania-cheluta?id=77051
188,Alexia-Ioana Carutasu,10/06/2003,183,54,290,275,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/alexia-ioana-carutasu?id=77050
189,Denisa Ioana Ionescu,08/07/2002,189,65,290,280,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/denisa-ioana-ionescu?id=77055
