competition_name,competition_year,team,name,date_of_birth,curr_age,height,weight,spike,block,player_page,player_image,nationality,position,short_position
World Cup,2019,http:///,Larysmer Martinez Caro,1996-01-18,25,174,68,288,258,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/larysmer_martinez_caro?id=77075,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87399&Type=Press&height=450&stretch=uniformtofill&width=300,DOM,Libero,L
World Cup,2019,http:///,Xinyue Yuan,1996-01-21,25,201,78,317,311,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/xinyue_yuan?id=76985,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87265&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Middle blocker,MB
World Cup,2019,http:///,Ting Zhuc,1994-01-29,27,198,78,327,300,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/ting_zhu?id=76989,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87261&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Wing spiker,OH
World Cup,2019,http:///,Xiangyu Gong,1997-01-21,24,186,72,313,302,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/xiangyu_gong?id=76971,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87271&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Opposite spiker,OPP
World Cup,2019,http:///,Yuanyuan Wang,1997-01-14,24,195,75,312,300,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/yuanyuan_wang?id=76981,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87269&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Middle blocker,MB
World Cup,2019,http:///,Changning Zhang,1995-01-06,26,193,80,315,303,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/changning_zhang?id=76987,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87258&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Wing spiker,OH
World Cup,2019,http:///,Xiaotong Liu,1990-01-16,31,188,80,312,300,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/xiaotong_liu?id=76975,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87257&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Wing spiker,OH
World Cup,2019,http:///,Di Yao,1992-01-15,29,182,65,306,298,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/di_yao?id=76993,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87255&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Setter,S
World Cup,2019,http:///,Yingying Li,2000-01-19,21,192,71,302,294,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/yingying_li?id=76973,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87272&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Wing spiker,OH
World Cup,2019,http:///,Yixin Zheng,1995-01-06,26,187,71,316,307,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/yixin_zheng?id=76992,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87263&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Middle blocker,MB
World Cup,2019,http:///,Li Lin,1992-01-05,29,171,65,294,294,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/li_lin?id=76974,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87260&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Libero,L
World Cup,2019,http:///,Xia Ding,1990-01-13,31,180,67,305,300,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/chn-china/players/xia_ding?id=76968,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87256&Type=Press&height=450&stretch=uniformtofill&width=300,CHN,Setter,S
