id,name,date_of_birth,height,weight,spike,block
81,Hiroko Okano,25/05/1976,167,58,280,276
82,Yuki Ishikawa,26/04/1987,181,68,302,286
83,Mizuho Ishida,22/01/1988,174,65,301,286
84,Yuki Shoji,19/11/1981,182,67,315,296
85,Erika Shinomiya,3/08/1984,186,78,305,297
86,Saori Kimura,19/08/1986,185,65,304,293
87,Maiko Kano,15/07/1988,184,68,305,290
88,Masami Taniguchi,17/09/1976,177,62,302,292
89,Koyomi Iwasaki,1/05/1989,175,68,295,280
90,Kotoe Inoue,15/02/1990,163,57,288,275
91,Mai Yamaguchi,3/07/1983,176,62,304,292
92,Maiko Sakashita,25/02/1985,180,74,302,296
93,Kanari Hamaguchi,29/08/1985,167,60,283,269
94,Min-Ji Kim,25/05/1985,187,75,304,296
95,Hye Seon Yeum,3/02/1991,177,65,278,263
96,So-La Lee,1/09/1987,177,62,295,285
97,Sa Nee Kim,21/06/1981,180,75,302,292
98,Hae Ran Kim,16/03/1984,168,60,270,250
99,Hyun-Mi Oh,15/03/1986,175,62,270,265
100,Hye-Suk Yoon,19/06/1983,174,60,293,283
101,Hyejin Kim,17/02/1989,180,62,284,274
102,Hea-Won La,28/06/1986,184,73,302,294
103,Yeon Koung Kim,26/02/1988,192,73,330,320
104,Jung-Hee Ji,18/03/1985,180,65,305,296
105,Songyi Han,5/09/1984,186,65,305,298
106,Yeon-Ju Lee,1/03/1990,180,71,282,270
107,Hyo Jin Yang,14/12/1989,190,72,340,338
108,Se Young Kim,4/06/1981,190,72,294,284
109,Yoo Na Bae,30/11/1989,182,68,285,275
110,Bo-Lam Lee,8/08/1988,185,75,283,274
111,Hyun Jung Na,10/03/1990,163,54,257,250
112,Heejin Kim,29/04/1991,185,75,305,295
113,Kim Staelens,7/01/1982,182,78,305,301
114,Monique Wismeijer,21/10/1978,176,77,0,0
115,Francien Huurman,18/04/1975,192,80,313,292
116,ChaÃ¯ne Staelens,7/11/1980,194,79,316,299
117,Robin De Kruijf,5/05/1991,192,81,313,300
118,Maret Balkestein-Grothues,16/09/1988,180,68,304,285
119,Elke Wijnhoven,3/01/1981,169,64,300,282
120,Alice Blom,7/04/1980,178,64,305,280
121,Myrthe Schoot,29/08/1988,182,70,298,286
122,Janneke van Tienen,29/05/1979,177,73,294,273
123,Caroline Wensink,4/08/1984,186,80,309,305
124,Manon Nummerdor-Flier,8/02/1984,192,71,315,301
125,Anne Buijs,2/12/1991,191,73,317,299
126,Floortje Meijners,16/01/1987,190,75,311,283
127,Ingrid Visser,4/06/1977,190,74,314,298
128,Debby Stam-Pilon,24/07/1984,184,69,303,281
129,Deborah van Daelen,24/03/1989,188,70,309,287
130,Sharon Zuidema,13/08/1990,185,72,0,0
131,Leonarda Sgroot,26/02/1986,180,64,0,0
132,Katarzyna Skowronska-Dolata,30/06/1983,189,75,314,296
133,Mariola Zenik,3/07/1982,175,65,300,295
134,Anna Wozniakowska,2/03/1982,182,74,310,289
135,Dorota Pykosz,22/10/1978,182,70,310,290
136,Maja Tokarska,22/02/1991,194,79,317,293
137,Agnieszka Bednarek-Kasza,20/02/1986,185,71,310,295
138,Izabela Belcik,29/11/1980,185,65,304,292
139,Dorota Swieniewicz,27/07/1972,180,64,315,305
140,Agata Sawicka,17/01/1985,180,64,295,277
141,Klaudia Kaczorowska,20/12/1988,184,68,303,281
142,Anna Werblinska,14/05/1984,178,66,308,292
143,Milena Radecka,18/10/1984,177,65,302,295
144,Paulina Maj-Erwardt,22/03/1987,166,58,277,255
145,Eleonora Dziekiewicz,25/10/1978,185,75,307,295
146,Katarzyna Gajgal,21/09/1981,190,85,300,287
147,Aleksandra Jagielo,2/06/1980,180,70,308,291
148,Joanna Kaczor,16/09/1984,191,64,305,290
149,Berenika Tomsia,18/03/1988,188,72,310,302
150,Joanna Wolosz,7/04/1990,181,71,303,281
151,Debora Seilhamer,4/10/1985,166,61,245,240
152,Shara Venegas,18/09/1992,173,68,280,272
153,Vilmarie Mojica,13/08/1985,180,63,295,288
154,Tatiana EncarnaciÃ³n,28/07/1985,182,72,300,279
155,Sarai Alvarez,3/04/1986,183,61,295,286
156,Yarimar Rosa,20/06/1988,178,62,295,285
157,Stephanie Enright,15/12/1990,179,56,300,292
158,Eva Cruz,22/01/1974,182,72,305,290
159,Aurea Cruz,10/01/1982,180,63,310,290
160,Roselly Perez,5/01/1988,185,58,290,283
161,Karina Ocasio,1/08/1985,192,76,298,288
162,Ania Ruiz,11/07/1982,182,68,305,284
163,Yamileska Yantin Luberza,9/04/1984,187,68,299,288
164,Raimariely Santos,13/04/1992,180,68,284,280
165,Jessica Candelario,2/11/1987,180,76,302,295
166,Alexandra Oquendo,3/02/1984,189,75,297,284
167,Sheila Ocasio,17/11/1982,195,74,310,292
168,Wilnelia GonzÃ¡lez,2/04/1985,183,65,302,294
169,Laudevis Marrero,3/08/1987,179,75,295,285
170,Maria Borisenko,8/03/1986,190,80,301,297
171,Anna Makarova,2/04/1984,194,86,306,302
172,Maria Zhadan,6/02/1983,178,70,283,280
173,Elena Murtazaeva,25/08/1981,190,73,309,304
174,Alexandra Pasynkova,14/04/1987,190,75,313,305
175,Ksenia Naumova,1/02/1990,190,73,305,300
176,Natalya Safronova,6/02/1979,190,77,312,305
177,Iuliia Merkulova,17/02/1984,202,75,317,308
178,Olga Fateeva,4/05/1984,190,72,310,303
179,Iuliia Morozova,8/01/1985,192,79,305,301
180,Ekaterina Gamova,17/10/1980,202,80,321,310
181,Marina Babeshina,26/06/1985,181,62,291,289
182,Evgeniya Startseva,12/02/1989,185,68,294,290
183,Ekaterina Ulanova,5/08/1986,172,61,298,290
184,Tatyana Kosheleva,23/12/1988,191,67,315,305
185,Olga Sazhina,19/02/1986,188,71,297,292
186,Yana Shcherban,6/09/1989,185,71,298,294
187,Ekaterina Starodubova,19/10/1984,176,65,301,292
188,Victoria Rusakova,23/10/1988,188,72,310,305
189,Wanna Buakaew,2/01/1981,172,54,292,277
190,Piyatida Lasungnern,23/10/1990,174,67,290,280
191,Sontaya Keawbundit,9/02/1991,177,68,290,280
192,Siriporn Sooksen,9/02/1988,180,66,308,292
193,Pleumjit Thinkaow,9/11/1983,180,67,303,283
194,Onuma Sittirak,13/06/1986,175,72,304,285
195,Narumon Khanan,26/01/1983,180,66,311,289
196,Utaiwan Kaensing,7/09/1988,189,86,310,295
197,Pornthip Santrong,11/08/1988,178,60,314,295
198,Wilavan Apinyapong,6/06/1984,174,70,294,282
199,Amporn Hyapha,19/05/1985,180,70,301,290
200,Kamonporn Sukmak,29/02/1988,174,63,285,275
201,Nootsara Tomkom,7/07/1985,169,57,289,278
202,Kittiyakorn Phansamdaeng,4/01/1988,175,63,294,280
203,Malika Kanthong,8/01/1987,178,65,292,278
204,Patcharee Deesamer,3/02/1989,180,74,306,293
205,Somruk Sungpokeaw,22/02/1985,175,64,275,269
206,Em-orn Phanusit,25/03/1988,179,70,302,291
207,Tapaphaipun Chaisri,29/11/1989,168,70,295,276
212,Natalia Martins,11/12/1984,185,69,300,286
217,Juciely Cristina Barreto,18/12/1980,184,71,289,285
218,Lei Zhang,11/01/1985,181,71,316,310
219,Jie Yang,1/03/1994,194,82,312,300
220,Nan Wang,13/08/1984,181,67,305,295
221,Liyi Chen,27/04/1989,184,75,302,290
222,Yunwen Ma,19/10/1986,190,76,315,307
223,Yuqian Bian,14/06/1990,180,70,300,292
224,Yao Chen,25/09/1988,191,74,315,305
225,Linlin Fan,1/12/1991,190,77,316,301
226,Sidarka De Los Milagros NuÃ±ez,25/06/1984,185,62,330,320
227,Cosiri Rodriguez Andino,30/08/1977,191,72,313,305
228,Gabriela Alexandra Reyes Hinojosa,6/11/1992,175,77,265,268
229,Kathleen Weiß,2/02/1984,173,64,290,273
230,Lena Möllers,6/01/1990,188,74,312,297
231,Imke Wedekind,23/06/1984,195,78,307,295
232,Janine Völker,19/09/1991,177,68,301,290
233,Patricia Grohmann,27/01/1990,186,80,303,289
234,Tatjana Zautys,4/05/1980,183,71,308,293
235,Cristina Barcellini,20/11/1986,183,78,307,292
236,Ilaria Garzaro,29/09/1986,189,70,312,292
237,Lucia Crisanti,16/03/1986,186,70,312,292
238,Giulia Rondon,16/10/1987,189,74,304,280
239,Enrica Merlo,28/12/1988,170,60,281,262
240,Annamaria Quaranta,19/10/1981,184,67,305,280
241,Jenny Barazza,24/07/1981,188,77,300,285
242,Francesca Marcon,9/07/1983,180,65,301,282
243,Paola Cardullo,18/03/1982,159,56,275,268
244,Serena Ortolani,7/01/1987,187,63,320,240
245,Francesca Piccinini,10/01/1979,184,71,304,279
246,Valentina Arrighetti,26/01/1985,185,72,318,310
247,Eleonora Lo Bianco,22/12/1979,171,67,287,273
248,Antonella Del Core,5/11/1980,180,70,296,279
249,Lucia Bosetti,9/07/1989,178,63,310,292
250,Simona Gioli,17/09/1977,185,70,307,283
251,Marta Bechis,4/09/1989,181,59,290,273
252,Saori Arita,10/07/1984,180,71,305,296
253,Ai Yamamoto,24/03/1982,184,68,312,305
254,Chie Yoshizawa,9/07/1983,172,66,294,288
255,Mai Fukuda,30/01/1984,176,65,298,280
256,Yukiko Ebata,7/11/1989,176,67,305,298
257,Saori Sakoda,18/12/1987,175,63,305,279
258,Akiko Ino,28/09/1986,168,59,270,260
259,Quinta Steenbergen,2/04/1985,189,75,309,300
260,Laura Dijkema,18/02/1990,184,70,293,279
261,Nicole Koolhaas,31/01/1991,198,77,310,300
262,Judith Blansjaar,23/05/1990,177,73,286,272
263,Lonneke SlÃ¶etjes,15/11/1990,191,76,322,315
264,Karolina Rozycka,28/06/1985,183,68,305,284
265,Katarzyna Konieczna,22/03/1985,184,75,304,288
266,Katarzyna Skorupa,16/09/1984,183,69,302,296
267,Katarzyna Agnieszka Zaroslinska-Krol,3/02/1987,187,72,312,290
268,Joanna Staniucha-Szczurek,5/12/1981,184,76,303,290
269,Ewelina Brzezinska,26/01/1988,182,68,308,280
270,Zuzanna Efimienko-Mlotkowska,8/08/1989,197,72,318,303
271,Maja Tokarska,22/02/1991,193,72,325,293
272,Xaimara Colon,11/09/1988,176,62,255,246
273,Tatiana Encarnación,28/07/1985,182,72,300,279
274,Shirley Ferrer,23/06/1991,180,63,290,293
275,Shanon Torregrosa,11/02/1981,188,85,301,297
276,Michelle Nogueras,5/12/1988,179,58,275,262
277,Glorimar Ortega,21/11/1983,179,70,297,285
278,Jetzabel Del Valle,19/12/1979,185,73,305,292
279,Diana Reyes,29/04/1993,188,86,290,285
280,Rasamee Supamool,10/01/1992,178,68,285,276
281,Hattaya Bamrungsuk,12/08/1993,178,62,289,275
282,Jurairat Ponleka,6/10/1991,181,65,290,280
283,Jarasporn Bundasak,1/03/1993,180,66,280,290
284,Wanitchaya Luangtonglang,8/10/1992,175,51,295,280
285,Yin Feng Tsai,6/11/1984,181,75,291,280
286,Wan Ting Chen,25/11/1990,178,67,290,280
287,Wan Ju Liao,19/04/1984,175,68,290,275
288,Ko Jou Wu,17/11/1985,175,75,285,275
289,Pei Ling Yen,5/01/1986,174,65,270,268
290,Yi Ting Hsieh,7/10/1987,166,62,265,250
291,Yen Chih Ho,26/11/1987,171,63,280,270
292,Szu Chi Huang,31/03/1988,180,69,285,275
293,Shu Fen Wu,7/04/1989,175,68,281,272
294,Ya Chu Yang,8/07/1991,173,62,278,268
295,Meng Hua Yang,15/08/1991,170,68,270,262
296,I Tzu Wen,31/10/1991,175,64,281,273
297,Alisha Glass,5/04/1988,184,72,305,300
298,Christa Harmotto Dietzen,12/10/1986,188,79,322,300
299,Angela Forsett,6/06/1986,173,74,320,315
300,Stacy Sykora,24/06/1977,176,61,305,295
301,Nicole Davis,24/04/1982,167,73,284,266
302,Heather Bown,29/11/1978,188,90,301,290
303,Cynthia Barboza,7/02/1987,183,68,311,301
304,Jennifer Tamas,23/11/1982,191,82,315,301
305,Courtney Thompson,4/11/1984,170,66,276,263
306,Jordan Larson,16/10/1986,188,75,302,295
307,Nancy Metcalf,12/11/1978,186,73,314,292
308,Lauren Paolini,22/08/1987,193,73,317,299
309,Nicole Fawcett,16/12/1986,191,82,310,291
310,Logan Tom,25/05/1981,186,80,306,297
311,Foluke Akinradewo,5/10/1987,191,79,331,300
312,Mary Spicer,3/07/1987,175,65,292,280
313,Megan Easy,15/10/1988,191,80,320,297
314,Destinee Hooker,7/09/1987,193,73,320,304
315,Marianela Garbari,13/11/1980,165,65,280,270
316,Paula Yamila Nizetich,27/01/1989,181,74,305,295
317,Aylin Pereyra,2/07/1988,180,68,300,292
318,Lucia Fresco,14/05/1991,195,92,304,290
319,Daniela Gildenberger,12/06/1984,180,77,300,290
320,Ileana Leyendeker,14/10/1986,189,84,301,293
321,Tatiana Soledad Rizzo,30/12/1986,178,64,280,268
322,Camila Jersonsky,30/05/1991,181,68,305,289
323,Emilce Sosa,11/09/1987,177,72,305,295
324,Georgina Pinedo,30/05/1981,180,64,312,290
325,Antonella Bortolozzi,22/01/1986,182,72,298,278
326,Leticia Boscacci,8/11/1985,186,70,302,284
327,Florencia Carlotto,14/10/1988,183,72,302,291
328,Julieta Constanza Lazcano,25/07/1989,190,76,312,293
329,Florencia Natasha Busquets Reyes,27/06/1989,192,68,305,290
330,Antonela Ayelen Curatola,23/10/1991,175,71,290,280
331,Yael Castiglione,27/09/1985,184,75,295,281
332,Clarisa Sagardia,29/06/1989,174,67,290,280
333,Juliana de Souza Nogueira,4/08/1988,190,71,307,301
334,Tandara Caixeta,30/10/1988,184,87,305,297
335,Suelle Oliveira,29/04/1987,187,72,291,278
336,Ting Zhu,29/11/1994,198,78,327,300
337,Ning Wang,14/05/1994,189,60,312,303
338,Na Wang,25/02/1990,178,63,305,295
339,Jingsi Shen,3/05/1989,186,75,305,294
340,Junjing Yang,15/05/1989,190,70,308,300
341,Danna Shan,8/10/1991,168,60,290,285
342,Yunli Xu,2/08/1987,195,85,325,306
343,Ruoqi Hui,4/03/1991,192,78,315,305
344,Xia Ding,13/01/1990,180,67,305,300
345,Congcong Liu,8/12/1990,189,65,310,302
346,Zhan Chen,11/10/1990,180,65,300,295
347,Dan Liu,29/08/1989,180,65,305,295
348,Yanelis Santos Allegne,30/03/1986,183,71,315,312
349,Alena Rojas Orta,9/08/1992,186,78,320,305
350,Yoana Palacio Mendoza,6/10/1990,184,67,313,300
351,Yunieska Robles Batista,21/03/1993,185,67,315,300
352,Daymara Lescay Cajigal,5/09/1992,184,72,308,290
353,Yumilka Ruiz Luaces,8/05/1978,180,63,326,305
354,Emily Borrell Cruz,19/02/1992,167,55,270,260
355,Yamila Hernandez Santas,8/11/1992,182,69,301,285
356,Ana Lidia Cleger Abel,27/11/1989,183,69,300,285
357,Liannes Castañeda Simon,18/10/1986,188,70,325,320
358,Dayami Sanchez Savon,14/03/1994,188,64,314,302
359,Rosanna Giel Ramos,10/06/1992,187,62,320,315
360,Kenia Carcaces Opón,23/01/1986,190,78,322,300
361,Yusidey Silie Frómeta,11/11/1984,184,77,316,300
362,Heydi Rodríguez López,24/06/1993,184,74,310,305
363,Gyselle de la Caridad Silva Franco,29/10/1991,184,70,302,295
364,Zoila Barros Fernández,16/08/1976,188,72,328,307
365,Jennifer Yanet Alvarez Hernandez,19/11/1993,184,72,310,294
366,Sulian Matienzo Linares,14/12/1994,178,67,318,314
367,Sidarka De Los Milagros Nuñez,25/06/1984,185,62,330,320
368,Karla Miguelina Echenique Medina,16/05/1986,180,65,300,290
369,Francia Jackson Cabrera,8/11/1975,168,71,245,235
370,Yonkaira Paola Peña Isabel,10/05/1993,190,70,320,310
371,Bethania De La Cruz De Peña,13/05/1987,188,70,330,320
372,Brayelin Elizabeth Martinez,11/09/1996,201,83,330,320
373,Friederike Thieme,16/04/1987,187,73,302,292
374,Kathy Radzuweit,2/03/1982,196,76,319,300
375,Christiane Fürst,29/03/1985,193,80,323,307
376,Regina Burchardt,1/07/1983,186,77,302,294
377,Mareen Von Römer,26/03/1987,183,73,295,284
378,Martina Guiggi,1/05/1984,187,80,317,240
379,Carolina del Pilar Costagrande,15/10/1980,188,80,312,291
380,Chiara Di Iulio,5/05/1985,184,65,291,278
381,Giulia Leonardi,1/12/1987,165,57,280,261
382,Francesca Ferretti,15/02/1984,180,70,296,280
383,Hitomi Nakamichi,18/09/1985,159,53,270,256
384,Makoto Matsuura,9/09/1986,173,69,282,265
385,Nana Iwasaka,3/07/1990,187,76,298,293
386,Risa Shinnabe,11/07/1990,175,64,293,285
387,Maiko Kano,15/07/1988,185,72,303,285
388,Yuki Ishii,8/05/1991,180,67,305,287
389,Ayano Nakaoji,24/07/1991,167,61,290,275
390,Tatyana Pyurova,5/04/1982,180,66,298,294
391,Sana Anarkulova,21/07/1989,188,77,300,280
392,Antonina Rubtsova,30/12/1984,184,67,302,275
393,Olga Danchenko,28/12/1982,190,75,305,295
394,Kristina Trubina,5/11/1986,178,64,295,270
395,Alena Ivanova,19/06/1989,195,78,310,300
396,Korinna Ishimtseva,8/02/1984,187,69,300,290
397,Irina Lukomskaya,19/03/1991,176,66,280,270
398,Yelena Ezau,9/03/1983,174,57,265,260
399,Marina Storozhenko,6/06/1985,175,57,290,280
400,Yekaterina Zhdanova,28/05/1992,183,65,280,270
401,Radmila Beresneva,6/06/1983,185,70,300,295
402,Zarina Sitkazinova,20/03/1993,182,70,295,280
403,Irina Kenzhebaeva,20/02/1992,180,73,290,280
404,Inna Matveyeva,12/10/1978,186,70,303,294
405,Olga Drobyshevskaya,22/09/1985,185,75,305,293
406,Natalya Akilova,31/05/1993,183,62,295,275
407,Natalya Kulinich,19/07/1988,173,66,280,275
408,Inna Shkurina,20/10/1993,178,65,276,266
409,Seul-Gi Park,25/02/1991,178,65,290,284
410,Sooji Han,1/02/1989,182,72,285,275
411,Youn Joo Hwang,13/08/1986,177,64,285,265
412,So-Jin Lee,28/08/1987,178,63,280,265
413,Jie Youn Nam,25/05/1983,170,61,285,273
414,Myungok Yim,5/05/1986,175,62,273,253
415,Young-Eun Jang,30/10/1993,182,68,290,270
416,Se Young Kim,4/06/1981,192,72,294,284
417,Minkyoung Hwang,2/06/1990,174,64,290,282
418,Sook-Ja Lee,17/06/1980,175,58,286,264
419,Mirtha Uribe,12/03/1985,184,67,297,286
420,Paola Garcia,25/08/1987,186,75,300,298
421,Patricia Soto,10/02/1980,179,67,300,295
422,Vanessa Palacios,3/07/1984,170,60,275,260
423,Jessenia Uceda,14/08/1981,178,69,304,294
424,Yulissa Zamudio Ore,24/03/1976,184,61,315,300
425,Milagros Moy,17/10/1975,175,66,296,285
426,Raffaella Camet,14/09/1992,184,67,289,285
427,Luren Baylon Francis,14/08/1977,180,68,310,305
428,Clarivett Yllescas,11/08/1993,184,72,305,295
429,Carla Rueda Cotito,19/04/1990,184,70,312,306
430,Zoila La Rosa,31/05/1990,174,62,285,280
431,Elena Keldibekova,23/06/1974,177,72,289,280
432,Karla Ortiz,20/10/1991,182,60,300,290
433,Alexandra Muñoz,16/08/1992,177,63,287,281
434,Brenda Daniela Uribe,11/12/1993,183,63,297,282
435,Carla Tristan,29/01/1988,180,67,297,295
436,Gisella Duarte,21/11/1977,191,78,297,292
437,Sandra Guibert,11/06/1989,177,65,295,287
438,Magdalena Saad,14/05/1985,168,55,277,261
439,Kinga Kasprzak,12/06/1987,188,76,310,295
440,Joanna Kapturska,4/07/1986,185,67,307,293
441,Sylwia Pelc,30/11/1990,189,85,312,293
442,Aleksandra Kruk,29/10/1984,181,76,298,285
443,Anita Kwiatkowska,5/03/1985,182,59,291,277
444,Lesya Makhno,4/09/1981,188,73,310,305
445,Maria Perepelkina,9/03/1984,187,72,304,300
446,Ekaterina Osichkina,2/04/1986,190,80,307,300
447,Victoria Kuzyakina,1/06/1985,175,70,290,287
448,Olga Bukreeva,15/02/1987,187,70,302,298
449,Svetlana Kryuchkova,21/02/1985,174,63,290,286
450,Nataliya Goncharova,1/06/1989,194,75,315,306
451,Vera Vetrova (Ulyakina),21/08/1986,180,73,298,293
452,Ekaterina Chernova,26/01/1986,178,68,292,290
453,Ekaterina Kosianenko,2/02/1990,178,64,290,285
454,Irina Uraleva,14/06/1990,170,65,285,275
455,Anna Matienko,12/07/1981,182,68,298,292
456,Jovana Brakocevic,5/03/1988,196,82,309,295
457,Sanja Malagurski,8/06/1990,193,74,305,295
458,Bojana Drca,29/03/1988,186,70,298,283
459,Natasa Krsmanovic,19/06/1985,188,73,305,285
460,Tijana Malesevic,18/03/1991,185,78,300,286
461,Brizitka Molnar,28/07/1985,182,69,304,290
462,Ana Antonijevic,26/08/1987,185,71,282,269
463,Jovana Vesovic,21/06/1987,182,68,283,268
464,Maja Ognjenovic,6/08/1984,183,67,300,293
465,Vesna Djurisic,3/02/1979,187,75,305,300
466,Jelena Nikolic,13/04/1982,194,79,315,300
467,Ana Bjelica,3/04/1992,190,78,310,305
468,Nadja Ninkovic,1/11/1991,193,77,307,298
469,Jovana Stevanovic,30/06/1992,192,72,308,295
470,Milena Rasic,25/10/1990,193,72,315,310
471,Stefana Veljkovic,9/01/1990,190,76,325,310
472,Suzana Cebic,9/11/1984,167,60,279,255
473,Silvija Popovic,15/03/1986,178,65,286,276
474,Nina Rosic,5/05/1990,172,61,277,261
475,Piyanut Pannoy,10/11/1989,171,62,280,275
476,Ajcharaporn Kongyot,18/06/1995,178,65,298,287
477,Pornpun Guedpard,5/05/1993,170,63,288,279
478,Soraya Phomla,6/08/1992,169,59,290,280
479,Danielle Scott-Arruda,1/10/1972,188,84,325,302
480,Tayyiba Haneef-Park,23/03/1979,200,82,328,312
481,Lindsey Berg,16/07/1980,173,75,287,274
482,Tamari Miyashiro,8/07/1987,170,70,284,266
483,Kimberly Glass,18/08/1984,190,75,314,299
484,Josefina Fernandez,17/08/1991,180,69,300,296
485,Luisina Yaccuzzi,12/06/1989,175,70,300,290
486,Julieta Puntin,06/12/1989,183,71,302,287
487,Graciela Allende,07/10/1994,167,75,270,260
488,Leticia Boscacci,08/11/1985,186,70,302,284
489,Maria Sol Calvete,14/09/1994,179,65,295,283
490,Mariangeles Cossar,07/04/1990,177,70,290,280
491,Yang Mi,24/01/1989,180,70,305,298
492,Jie Yang,01/03/1994,194,82,312,300
493,Ruoqi Hui,04/03/1991,189,70,312,305
494,Danna Shan,08/10/1991,168,60,290,285
495,Yunli Xu,02/08/1987,196,75,317,315
496,Chunlei Zeng,03/11/1989,187,67,315,315
497,Ni Yan,02/03/1987,192,74,317,306
498,Congcong Liu,08/12/1990,188,70,310,305
499,Na Yin,03/02/1988,182,65,305,300
500,Linlin Fan,01/12/1991,190,77,316,301
501,Zhou Yang,21/04/1992,190,78,308,303
502,Yanan Qiu,16/01/1989,183,62,295,280
503,Jingsi Shen,03/05/1989,185,78,305,300
504,Yanelis Santos Allegne,30/03/1986,181,69,324,304
505,Alena Rojas Orta,09/08/1992,186,76,320,305
506,Yoana Palacio Mendoza,06/10/1990,184,67,313,300
507,Yunieska Robles Batista,21/03/1993,185,67,308,285
508,Daymara Lescay Cajigal,05/09/1992,184,72,308,290
509,Yamila Hernandez Santas,08/11/1992,182,69,301,285
510,Rachel Sanchez Perez,09/01/1989,190,86,316,297
