index,id,name,date_of_birth,height,weight,spike,block,link,position_number,country,age_in_2011,age_in_2020
118,119,Ana Yorkira Binet Stephens,09/02/1992,174,58,280,260,Players.asp?Tourn=WWC2011&Team=DOM&No=119229,,DOM,19,28
119,120,Brayelin Elizabeth Martinez,11/09/1996,201,83,330,320,Players.asp?Tourn=WWC2011&Team=DOM&No=123982,,DOM,15,24
120,121,Min-Ji Kim,25/05/1985,187,75,304,296,Players.asp?Tourn=WWC2011&Team=KOR&No=112774,,KOR,26,35
121,122,Ji-Youn Jung,28/06/1980,178,64,295,284,Players.asp?Tourn=WWC2011&Team=KOR&No=113907,,KOR,31,40
122,123,Youn Joo Hwang,13/08/1986,177,64,285,265,Players.asp?Tourn=WWC2011&Team=KOR&No=114880,,KOR,25,34
123,124,Youn-Ok Choi,23/04/1985,173,59,290,280,Players.asp?Tourn=WWC2011&Team=KOR&No=138033,,KOR,26,35
124,125,Hye-Suk Yoon,19/06/1983,174,60,293,283,Players.asp?Tourn=WWC2011&Team=KOR&No=114879,,KOR,28,37
125,126,Jie Youn Nam,25/05/1983,170,61,285,273,Players.asp?Tourn=WWC2011&Team=KOR&No=112496,,KOR,28,37
126,127,Yeon Koung Kim,26/02/1988,192,73,330,320,Players.asp?Tourn=WWC2011&Team=KOR&No=116439,,KOR,23,32
127,128,Bo-Lam Lee,08/08/1988,185,75,283,274,Players.asp?Tourn=WWC2011&Team=KOR&No=116441,,KOR,23,32
128,129,Yea-Na Joo,02/05/1990,175,61,289,280,Players.asp?Tourn=WWC2011&Team=KOR&No=119472,,KOR,21,30
129,130,Se Young Kim,04/06/1981,190,72,294,284,Players.asp?Tourn=WWC2011&Team=KOR&No=113906,,KOR,30,39
130,131,Young-Eun Jang,30/10/1993,182,68,290,270,Players.asp?Tourn=WWC2011&Team=KOR&No=133087,,KOR,18,27
131,132,Hyejin Kim,17/02/1989,180,62,284,274,Players.asp?Tourn=WWC2011&Team=KOR&No=116436,,KOR,22,31
132,133,Heejin Kim,29/04/1991,185,75,305,295,Players.asp?Tourn=WWC2011&Team=KOR&No=119484,,KOR,20,29
133,134,Jeongah Park,26/03/1993,187,75,300,290,Players.asp?Tourn=WWC2011&Team=KOR&No=131893,,KOR,18,27
134,135,Alisha Glass,05/04/1988,184,72,305,300,Players.asp?Tourn=WWC2011&Team=USA&No=132576,,USA,23,32
135,136,Danielle Scott-Arruda,01/10/1972,188,84,325,302,Players.asp?Tourn=WWC2011&Team=USA&No=113366,,USA,39,48
136,137,Tayyiba Haneef-Park,23/03/1979,200,82,328,312,Players.asp?Tourn=WWC2011&Team=USA&No=113377,,USA,32,41
137,138,Lindsey Berg,16/07/1980,173,75,287,274,Players.asp?Tourn=WWC2011&Team=USA&No=117611,,USA,31,40
138,139,Nicole Davis,24/04/1982,167,73,284,266,Players.asp?Tourn=WWC2011&Team=USA&No=112581,,USA,29,38
139,140,Heather Bown,29/11/1978,188,90,301,290,Players.asp?Tourn=WWC2011&Team=USA&No=113369,,USA,33,42
140,141,Cynthia Barboza,07/02/1987,183,68,311,301,Players.asp?Tourn=WWC2011&Team=USA&No=112592,,USA,24,33
141,142,Jennifer Tamas,23/11/1982,191,82,315,301,Players.asp?Tourn=WWC2011&Team=USA&No=114061,,USA,29,38
142,143,Jordan Larson,16/10/1986,188,75,302,295,Players.asp?Tourn=WWC2011&Team=USA&No=114051,,USA,25,34
143,144,Nancy Metcalf,12/11/1978,186,73,314,292,Players.asp?Tourn=WWC2011&Team=USA&No=113376,,USA,33,42
144,145,Tamari Miyashiro,08/07/1987,170,70,284,266,Players.asp?Tourn=WWC2011&Team=USA&No=132048,,USA,24,33
145,146,Logan Tom,25/05/1981,186,80,306,297,Players.asp?Tourn=WWC2011&Team=USA&No=113373,,USA,30,39
146,147,Foluke Akinradewo,05/10/1987,191,79,331,300,Players.asp?Tourn=WWC2011&Team=USA&No=115495,,USA,24,33
147,148,Megan Easy,15/10/1988,191,80,320,297,Players.asp?Tourn=WWC2011&Team=USA&No=115857,,USA,23,32
