id,name,date_of_birth,height,weight,spike,block,link
117,Youwarak Maha-on,20/06/1989,172,55,231,228/,VB_PlayerDB.asp?No=119011
118,Valeriya Goncharova,03/01/1988,188,66,295,300/,VB_PlayerDB.asp?No=115870
119,Viktoriya Dyedkova,17/06/1988,192,83,310,305/,VB_PlayerDB.asp?No=115869
120,Elina Bezprozvanna,04/06/1989,188,72,310,300/,VB_PlayerDB.asp?No=119230
121,Nadiia Kosylo,29/09/1988,185,70,310,300/,VB_PlayerDB.asp?No=115875
122,Olga Savenchuk,20/05/1988,188,78,315,305/,VB_PlayerDB.asp?No=115282
123,Ol'ga Geyko,04/04/1988,177,63,300,295/,VB_PlayerDB.asp?No=115874
124,Yuliya Lonyuk,19/01/1989,186,68,310,300/,VB_PlayerDB.asp?No=115966
125,Nataliya Goncharova,01/06/1989,194,72,305,300/,VB_PlayerDB.asp?No=115877
126,Olena Chetverikova,19/03/1988,170,60,290,285/,VB_PlayerDB.asp?No=115964
127,Anna Diachenko,18/04/1988,186,65,304,295/,VB_PlayerDB.asp?No=115879
128,Tetyana Mandrazheyeva,23/05/1988,180,55,300,295/,VB_PlayerDB.asp?No=115962
129,Hanna Artiushenko,03/08/1989,187,65,305,300/,VB_PlayerDB.asp?No=119226
130,Taylor Carico,14/06/1988,0,0,309,289/,VB_PlayerDB.asp?No=119174
131,Jennifer Doris,03/11/1988,197,70,320,302/,VB_PlayerDB.asp?No=115850
132,Whitney Dosty,25/02/1988,194,75,317,299/,VB_PlayerDB.asp?No=115849
133,Ashley Engle,26/01/1988,191,73,309,292/,VB_PlayerDB.asp?No=115856
134,Zoe Garrett,16/05/1989,187,73,305,291/,VB_PlayerDB.asp?No=119172
135,Lauren Gibbemeyer,08/09/1988,187,71,307,293/,VB_PlayerDB.asp?No=119170
136,Cassidy Lichtman,25/05/1989,185,68,299,279/,VB_PlayerDB.asp?No=137657
137,Tara Mueller,31/07/1989,182,67,309,285/,VB_PlayerDB.asp?No=119173
138,Kelly Murphy,20/10/1989,188,79,315,307/,VB_PlayerDB.asp?No=119176
139,Kimberlee Roleder,28/11/1989,185,70,309,297/,VB_PlayerDB.asp?No=119177
140,Colleen Ward,04/10/1989,190,71,306,290/,VB_PlayerDB.asp?No=119178
