id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
102,Anne Matthes,30/04/1985,182,66,312,295,Players.asp?Tourn=WGP2011&Team=GER&No=120334
103,Christiane Fürst,29/03/1985,193,80,323,307,Players.asp?Tourn=WGP2011&Team=GER&No=112473
104,Heike Beier,9/12/1983,184,73,305,293,Players.asp?Tourn=WGP2011&Team=GER&No=112477
105,Saskia Hippe,16/01/1991,185,67,315,292,Players.asp?Tourn=WGP2011&Team=GER&No=118954
106,Margareta Kozuch,30/10/1986,187,70,309,297,Players.asp?Tourn=WGP2011&Team=GER&No=116179
107,Maren Fromm,10/07/1986,184,68,303,295,Players.asp?Tourn=WGP2011&Team=GER&No=120333
108,Lisa Thomsen,20/08/1985,172,68,290,285,Players.asp?Tourn=WGP2011&Team=GER&No=123175
109,Lena Möllers,6/01/1990,188,74,312,297,Players.asp?Tourn=WGP2011&Team=GER&No=118946
110,Nadja Schaus,8/11/1984,187,66,305,295,Players.asp?Tourn=WGP2011&Team=GER&No=123177
111,Regina Burchardt,1/07/1983,186,77,302,294,Players.asp?Tourn=WGP2011&Team=GER&No=112480
112,Mareen Von Römer,26/03/1987,183,73,295,284,Players.asp?Tourn=WGP2011&Team=GER&No=114525
113,Cristina Barcellini,20/11/1986,183,78,307,292,Players.asp?Tourn=WGP2011&Team=ITA&No=124171
114,Ilaria Garzaro,29/09/1986,189,70,312,292,Players.asp?Tourn=WGP2011&Team=ITA&No=113995
115,Lucia Crisanti,16/03/1986,186,70,312,292,Players.asp?Tourn=WGP2011&Team=ITA&No=113996
116,Giulia Rondon,16/10/1987,189,74,304,280,Players.asp?Tourn=WGP2011&Team=ITA&No=114533
117,Enrica Merlo,28/12/1988,170,60,281,262,Players.asp?Tourn=WGP2011&Team=ITA&No=119188
118,Martina Guiggi,1/05/1984,187,80,317,240,Players.asp?Tourn=WGP2011&Team=ITA&No=112516
119,Carolina del Pilar Costagrande,15/10/1980,188,80,312,291,Players.asp?Tourn=WGP2011&Team=ITA&No=134088
